min_aln_len	min_identity	flanked_reads	flanked_pct
10	0.7	4204	0.8408
10	0.75	3424	0.6848
10	0.8	2473	0.4946
10	0.85	2028	0.4056
10	0.9	1672	0.3344
10	0.95	1455	0.291
12	0.7	4204	0.8408
12	0.75	3424	0.6848
12	0.8	2473	0.4946
12	0.85	2028	0.4056
12	0.9	1672	0.3344
12	0.95	1455	0.291
14	0.7	4204	0.8408
14	0.75	3424	0.6848
14	0.8	2473	0.4946
14	0.85	2028	0.4056
14	0.9	1672	0.3344
14	0.95	1455	0.291
16	0.7	4204	0.8408
16	0.75	3424	0.6848
16	0.8	2473	0.4946
16	0.85	2028	0.4056
16	0.9	1672	0.3344
16	0.95	1455	0.291
18	0.7	4204	0.8408
18	0.75	3424	0.6848
18	0.8	2473	0.4946
18	0.85	2028	0.4056
18	0.9	1672	0.3344
18	0.95	1455	0.291
20	0.7	4204	0.8408
20	0.75	3424	0.6848
20	0.8	2473	0.4946
20	0.85	2028	0.4056
20	0.9	1672	0.3344
20	0.95	1455	0.291
