read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
0_3LV7H5_2	184	R1	17.5	20	13	7	0.65	1.0	43	63	R1	17.5	20	15	5	0.75	1.0	17	42	False	False	False	NA
1_3LV7H5_2	257	R1	38.0	20	20	0	1.0	1.0	7	28	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
2_3LV7H5_2	230	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3_3LV7H5_2	165	R1	18.0	20	15	5	0.75	1.0	39	65	R1_rc	23.0	20	15	5	0.75	1.0	42	62	False	False	False	NA
4_3LV7H5_2	173	R1_rc	18.0	20	15	5	0.75	1.0	24	49	R1	21.0	20	18	2	0.9	1.0	11	42	False	True	False	NA
5_3LV7H5_2	138	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	31.0	20	18	2	0.9	1.0	52	73	True	True	True	R1|R1_rc
6_3LV7H5_2	231	R1_rc	18.0	20	17	3	0.85	1.0	39	69	R1_rc	18.0	20	16	4	0.8	1.0	21	53	True	True	True	R1_rc|R1_rc
7_3LV7H5_2	566	R1	33.0	20	19	1	0.95	1.0	7	29	R1_rc	28.5	20	16	4	0.8	1.0	58	78	True	True	True	R1|R1_rc
8_3LV7H5_2	431	R1_rc	18.5	20	14	6	0.7	1.0	53	75	R1	18.5	20	14	6	0.7	1.0	5	27	False	False	False	NA
9_3LV7H5_2	161	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1_rc	28.0	20	14	6	0.7	1.0	6	20	False	False	False	NA
10_3LV7H5_2	776	R1	20.0	20	14	6	0.7	1.0	27	46	R1_rc	17.5	20	15	5	0.75	1.0	51	76	False	False	False	NA
11_3LV7H5_2	450	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1_rc	40.0	20	20	0	1.0	1.0	31	51	False	True	False	NA
12_3LV7H5_2	524	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
13_3LV7H5_2	524	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	37.0	20	19	1	0.95	1.0	52	72	True	True	True	R1|R1_rc
14_3LV7H5_2	228	R1_rc	19.0	20	14	6	0.7	1.0	48	69	R1	19.0	20	14	6	0.7	1.0	9	30	False	False	False	NA
15_3LV7H5_2	1528	R1_rc	18.5	20	13	7	0.65	1.0	3	24	R1_rc	40.0	20	20	0	1.0	1.0	52	72	False	True	False	NA
16_3LV7H5_2	471	R1_rc	17.5	20	17	3	0.85	1.0	44	77	R1	17.5	20	17	3	0.85	1.0	2	35	True	True	True	R1_rc|R1
17_3LV7H5_2	425	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
18_3LV7H5_2	557	R1_rc	18.5	20	16	4	0.8	1.0	27	58	R1	18.0	20	16	4	0.8	1.0	22	54	True	True	True	R1_rc|R1
19_3LV7H5_2	373	R1_rc	16.5	20	13	7	0.65	1.0	55	76	R1_rc	40.0	20	20	0	1.0	1.0	31	51	False	True	False	NA
